key,value
brand_name,"Little Seeds & Peter Pan Schools"
brand_tagline,"🌱 Little Seeds & Peter Pan Schools"
footer_tagline,"Play-based learning for every little seed to bloom — across all three Little Seeds & Peter Pan Schools campuses. Bay Area's most trusted early childhood centers."
footer_copyright,"© 2025 Little Seeds & Peter Pan Schools. All rights reserved."
footer_location_1,"📍 Little Seeds Children's Center, Alameda"
footer_location_2,"📍 Peter Pan Academy, Alameda"
footer_location_3,"📍 Peter Pan Preschool, Alameda"
footer_email,"sarah@peterpanschools.com"
footer_phone,"(510) 865-5901"
footer_address,"2055 Santa Clara Ave, Alameda, CA 94501"
footer_quick_links_title,"Quick Links"
footer_families_title,"For Families"
footer_contact_title,"Say Hello"
footer_link_tuition,"Tuition Rates"
footer_link_forms,"Forms"
footer_link_waitlist,"Waitlist"
footer_link_galleries,"Photo Galleries"
footer_social_title,"Follow Us"
nav_home,"Home"
nav_about,"About Us"
nav_schools,"Our Schools"
nav_curriculum,"Curriculum"
nav_blog,"Blog"
cta_book_tour,"Book a Tour →"
cta_join_waitlist,"Join Waitlist"
cta_view_all_posts,"View All Posts →"
cta_band_title,"Ready to find your child's second home?"
cta_band_subtitle,"Schedule a tour at any of our 3 Bay Area locations and see the magic for yourself."
nav_logo,"🌱 Little Seeds & Peter Pan Schools"
nav_cta,"Book a Tour →"
nav_contact,"Contact"
footer_brand,"Little Seeds & Peter Pan Schools"
footer_col_links,"Quick Links"
footer_col_families,"For Families"
footer_col_hello,"Say Hello"
footer_loc_1,"📍 Little Seeds Children's Center, Alameda"
footer_loc_2,"📍 Peter Pan Academy, Alameda"
footer_loc_3,"📍 Peter Pan Preschool, Alameda"
footer_phone_raw,"5108655901"
footer_privacy,"Privacy Policy"
footer_terms,"Terms of Use"
footer_tuition,"Tuition Rates"
footer_waitlist,"Waitlist"
footer_forms,"Forms & Documents"
footer_address_full,"2055 Santa Clara Ave, Alameda, CA 94501"
footer_hours,"Mon–Fri: 7:30 AM – 5:30 PM"
cta_title,"Ready to find your child's second home?"
cta_sub,"Schedule a tour at any of our 3 Bay Area locations and see the magic for yourself."
cta_btn_primary,"Book a Tour →"
cta_btn_secondary,"Join the Waitlist →"
read_more_btn,"Read More →"
card_link_text,"Learn More →"
featured_label,"Featured Post"
blog_default_author,"Alpana Wadhwa"
blog_default_author_image,"author-alpana.jpg"
blog_recent_title,"Recent Posts"
blog_comments_title,"Comments"
blog_comments_placeholder,"Share your thoughts..."
blog_comments_btn,"Post Comment"
blog_share_title,"Share this article"
nav_families,"For Families"
notice_1_title,"🌱 Now Enrolling"
notice_1_body,"Fall 2025 spots filling fast — all 3 locations"
notice_2_title,"🎉 Open House"
notice_2_body,"May 15th · Come see our campuses!"
notice_3_title,"⭐ 4.9 / 5 Rating"
notice_3_body,"Trusted by 500+ Bay Area families"
notice_4_title,"📞 Questions?"
notice_4_body,"(510) 865-5901 · Mon–Fri 7:30 AM–5:30 PM"
nav_gallery,"Photo Gallery"
nav_parent_resources,"Parent Resources"
