key,value
page_title,"Contact — Little Seeds & Peter Pan Schools"
hero_label,"🪄 Get In Touch"
hero_title,"We'd love to show you around"
hero_subtitle,"Scheduling a tour is the best first step. Choose a location and fill out the form."
loc_section_title,"Choose a Location"
loc_1_name,"Little Seeds Children's Center"
loc_1_address,"2055 Santa Clara Ave, Alameda, CA 94501"
loc_1_phone,"(510) 865-5901"
loc_2_name,"Peter Pan Academy"
loc_2_address,"1900 Grand St, Alameda, CA 94501"
loc_2_phone,"(510) 865-5901"
loc_3_name,"Peter Pan Preschool"
loc_3_address,"715 Haight Ave, Alameda, CA 94501"
loc_3_phone,"(510) 865-5901"
direct_contact_title,"Or reach us directly"
direct_email,"sarah@peterpanschools.com"
direct_phone,"(510) 865-5901"
form_title,"Book Your Tour"
form_firstname_label,"First Name"
form_lastname_label,"Last Name"
form_email_label,"Email Address"
form_phone_label,"Phone Number"
form_age_label,"Child's Age"
form_age_opt_1,"12 – 18 months"
form_age_opt_2,"18 months – 2 years"
form_age_opt_3,"2 – 3 years"
form_age_opt_4,"3 – 4 years"
form_age_opt_5,"4 – 5 years"
form_location_label,"Preferred Location"
form_location_opt_1,"Little Seeds Children's Center"
form_location_opt_2,"Peter Pan Academy"
form_location_opt_3,"Peter Pan Preschool"
form_message_label,"Message"
form_message_placeholder,"Tell us a little about your child and any questions you have..."
form_submit_btn,"Send My Request →"
map_title,"Find Us"
map_placeholder_text,"📍 Interactive Map — 3 Bay Area Locations"
nav_active_contact,"active"
loc_1_phone_raw,"5108655901"
loc_2_phone_raw,"5108655901"
loc_3_phone_raw,"5108655901"
form_firstname_placeholder,"Jane"
form_lastname_placeholder,"Smith"
form_email_placeholder,"jane@example.com"
form_phone_placeholder,"(510) 555-0100"
form_age_placeholder,"Select age range"
form_location_placeholder,"Select a location"
