key,value
page_title,"Photo Gallery — Little Seeds & Peter Pan Schools"
nav_active_gallery,"active"
hero_label,"🪄 Our Photo Gallery"
hero_title,"A glimpse into our world"
hero_subtitle,"Real moments from our classrooms, playgrounds, and everyday adventures across all three campuses."
tab_ppa,"Peter Pan Academy"
tab_lscc,"Little Seeds Children's Center"
tab_ppp,"Peter Pan Preschool"
gallery_ppa_label,"🎨 Invitation to Create — Process Art"
gallery_lscc_label,"🌱 Little Seeds — Learning Environments"
gallery_ppp_label,"🎭 Invitation to Play — Our Environments"
gallery_ppa_1,"gallery/ppa_b49ada_bff349bb3afb4.jpg"
gallery_ppa_2,"gallery/ppa_b49ada_999e37fbf4274.jpg"
gallery_ppa_3,"gallery/ppa_b49ada_0d3e9e121e4e4.jpg"
gallery_ppa_4,"gallery/ppa_b49ada_ac6f424e7bf54.jpg"
gallery_ppa_5,"gallery/ppa_b49ada_80826ec855b44.jpg"
gallery_ppa_6,"gallery/ppa_b49ada_770e5e45c7074.jpg"
gallery_ppa_7,"gallery/ppa_b49ada_26e06b24b3274.jpg"
gallery_ppa_8,"gallery/ppa_b49ada_7655a3a09a2a4.jpg"
gallery_ppa_9,"gallery/ppa_b49ada_5a017f676d254.jpg"
gallery_ppa_10,"gallery/ppa_b49ada_a0db8d5948cb4.jpg"
gallery_ppa_11,"gallery/ppa_b49ada_78fe72476d614.jpg"
gallery_ppa_12,"gallery/ppa_b49ada_de8a6477f1114.jpg"
gallery_ppa_13,"gallery/ppa_b49ada_4f27df2c376b4.jpg"
gallery_ppa_14,"gallery/ppa_b49ada_0820032f40864.jpg"
gallery_ppa_15,"gallery/ppa_b49ada_63ca01ccad144.jpg"
gallery_ppa_16,"gallery/ppa_b49ada_4deed4e23a704.jpg"
gallery_ppa_17,"gallery/ppa_b49ada_83c86ca154f44.jpg"
gallery_ppa_18,"gallery/ppa_b49ada_b0879a8d84034.jpg"
gallery_ppa_19,"gallery/ppa_b49ada_b0d8aa2ea67c4.jpg"
gallery_ppa_20,"gallery/ppa_b49ada_e0c6701815764.jpg"
gallery_ppa_21,"gallery/ppa_b49ada_fe88b71d91a74.jpg"
gallery_ppa_22,"gallery/ppa_b49ada_86f0a4f736ee4.jpg"
gallery_ppa_23,"gallery/ppa_b49ada_b0b8180d29264.jpg"
gallery_ppa_24,"gallery/ppa_b49ada_e5989826e5b34.jpg"
gallery_ppa_25,"gallery/ppa_b49ada_68dac72aed254.jpg"
gallery_lscc_1,"gallery/lscc_b49ada_b95d83e225c24.jpg"
gallery_lscc_2,"gallery/lscc_b49ada_a10c80fb489b4.jpg"
gallery_lscc_3,"gallery/lscc_b49ada_2f87475869524.jpg"
gallery_lscc_4,"gallery/lscc_b49ada_a837a29363bb4.jpg"
gallery_lscc_5,"gallery/lscc_b49ada_f592762862f84.jpg"
gallery_lscc_6,"gallery/lscc_b49ada_510d6f04decd4.jpg"
gallery_lscc_7,"gallery/lscc_b49ada_c6dd24e5b31c4.jpg"
gallery_lscc_8,"gallery/lscc_b49ada_6110279eb4084.jpg"
gallery_lscc_9,"gallery/lscc_b49ada_fbe4e39e2fcb4.jpg"
gallery_lscc_10,"gallery/lscc_b49ada_3f7fc888d15c4.jpg"
gallery_lscc_11,"gallery/lscc_b49ada_b2b63818afc14.jpg"
gallery_lscc_12,"gallery/lscc_b49ada_e027a14476094.jpg"
gallery_lscc_13,"gallery/lscc_b49ada_6e1a714065b54.jpg"
gallery_lscc_14,"gallery/lscc_b49ada_2842cb6b8dc14.jpg"
gallery_lscc_15,"gallery/lscc_b49ada_96267b50b39e4.jpg"
gallery_lscc_16,"gallery/lscc_b49ada_9c3a6f6b89564.jpg"
gallery_lscc_17,"gallery/lscc_b49ada_376ba57ec51d4.jpg"
gallery_lscc_18,"gallery/lscc_b49ada_329554d6ee8b4.jpg"
gallery_lscc_19,"gallery/lscc_b49ada_1585228d3abe4.jpg"
gallery_lscc_20,"gallery/lscc_b49ada_679f8028bb404.jpg"
gallery_lscc_21,"gallery/lscc_b49ada_82070da890d54.jpg"
gallery_lscc_22,"gallery/lscc_b49ada_17805a8c7a274.jpg"
gallery_lscc_23,"gallery/lscc_b49ada_1b2db2d886154.jpg"
gallery_lscc_24,"gallery/lscc_df1e3c_d88daa3bb2794.jpg"
gallery_lscc_25,"gallery/lscc_df1e3c_16ee760b916f4.jpg"
gallery_ppp_1,"gallery/ppp_b49ada_6d3a86b8a1164.jpg"
gallery_ppp_2,"gallery/ppp_b49ada_035c96a148ed4.jpg"
gallery_ppp_3,"gallery/ppp_b49ada_775c894461e34.jpg"
gallery_ppp_4,"gallery/ppp_b49ada_318ba5aa0e844.jpg"
gallery_ppp_5,"gallery/ppp_b49ada_d03a4c6528ed4.jpg"
gallery_ppp_6,"gallery/ppp_df1e3c_8b1841e1f2004.jpg"
gallery_ppp_7,"gallery/ppp_df1e3c_2802bba7ac094.jpg"
gallery_ppp_8,"gallery/ppp_df1e3c_691b3b56a1dc4.jpg"
gallery_ppp_9,"gallery/ppp_df1e3c_9eaad305854c4.jpg"
gallery_ppp_10,"gallery/ppp_df1e3c_dbc3138439a04.jpg"
gallery_ppp_11,"gallery/ppp_b49ada_107ae4ab44514.jpg"
gallery_ppp_12,"gallery/ppp_b49ada_5634ae35415b4.jpg"
gallery_ppp_13,"gallery/ppp_b49ada_c3485a624d024.jpg"
gallery_ppp_14,"gallery/ppp_b49ada_be3a6fc271ab4.jpg"
gallery_ppp_15,"gallery/ppp_b49ada_1665aa0d6bf14.jpg"
gallery_ppp_16,"gallery/ppp_b49ada_ab17ffcca09c4.jpg"
gallery_ppp_17,"gallery/ppp_b49ada_09f32c6df43d4.jpg"
gallery_ppp_18,"gallery/ppp_b49ada_f008e99cccea4.jpg"
gallery_ppp_19,"gallery/ppp_b49ada_48677fb9545f4.jpg"
gallery_ppp_20,"gallery/ppp_b49ada_9922a1d612cd4.jpg"
gallery_ppp_21,"gallery/ppp_b49ada_1b6c8c63e7a44.jpg"
gallery_ppp_22,"gallery/ppp_b49ada_89d7ae2fb59c4.jpg"
gallery_ppp_23,"gallery/ppp_b49ada_0c339a5dc87c4.jpg"
gallery_ppp_24,"gallery/ppp_b49ada_c82a3d30c0b04.jpg"
