key,value
page_title,"Parent Resources & Forms — Little Seeds & Peter Pan Schools"
nav_active_forms,"active"
hero_label,"🪄 Parent Resources"
hero_title,"Everything you need, all in one place"
hero_subtitle,"Download enrollment forms, health records, and consent documents for all three campuses."
section_forms_label,"📋 Registration & Enrollment Forms"
section_forms_intro,"Please download, complete, and return the following forms before your child's first day."
form_1_name,"LIC 613A — Personal Rights"
form_1_desc,"Child's personal rights as required by California state licensing."
form_1_url,"https://www.littleseedschildrenscenter.com/_files/ugd/bc4675_d4d1f7658ab246789859861400ddb66c.pdf"
form_1_icon,"🛡"
form_2_name,"LIC 701 — Physician's Report"
form_2_desc,"Medical report completed by your child's doctor prior to enrollment."
form_2_url,"https://www.littleseedschildrenscenter.com/_files/ugd/bc4675_48b374f627344690abcbbaef1626c209.pdf"
form_2_icon,"🩺"
form_3_name,"LIC 702 — Child's Preadmission Health History"
form_3_desc,"Parent-completed health history for your child before admission."
form_3_url,"https://www.littleseedschildrenscenter.com/_files/ugd/bc4675_8fa5f739d1104580bb2a685e6a7ad619.pdf"
form_3_icon,"📋"
form_4_name,"LIC 9221 — Medication Consent & Chart"
form_4_desc,"Consent form for administration of medications at the center."
form_4_url,"https://www.littleseedschildrenscenter.com/_files/ugd/bc4675_c69cd3d8a8f34112a1666e7e56fbfa03.pdf"
form_4_icon,"💊"
form_5_name,"LIC 995 — Parents' Rights"
form_5_desc,"Summary of rights for parents and guardians under California law."
form_5_url,"https://www.littleseedschildrenscenter.com/_files/ugd/bc4675_0abb4f53db584e8e83cb038e46b239e9.pdf"
form_5_icon,"⚖️"
form_6_name,"Identification & Emergency Information"
form_6_desc,"Emergency contacts, authorized pick-up persons, and identification details."
form_6_url,"https://www.littleseedschildrenscenter.com/_files/ugd/bc4675_347821080cd14a1bb60df8705228e298.pdf"
form_6_icon,"🚨"
form_7_name,"LIC 627 — Consent for Emergency Medical Treatment"
form_7_desc,"Authorization for emergency medical care when parents cannot be reached."
form_7_url,"https://www.littleseedschildrenscenter.com/_files/ugd/bc4675_5f6fa6376db74cc6b7e5c004289bb4f4.pdf"
form_7_icon,"🏥"
form_8_name,"IPM Plan of Operations"
form_8_desc,"Integrated Pest Management plan as required by California state regulations."
form_8_url,"https://www.littleseedschildrenscenter.com/_files/ugd/bc4675_7b5ebca95ed94637af5866acc5b06ecb.pdf"
form_8_icon,"📄"
section_contact_label,"❓ Need Help?"
section_contact_text,"If you have questions about which forms to complete or need assistance, contact us."
