key,value
page_title,"About Us — Little Seeds & Peter Pan Schools"
nav_active_home,""
nav_active_about,"active"
nav_active_schools,""
nav_active_curriculum,""
nav_active_blog,""
hero_label,"🪄 Our Story"
hero_title,"More than a school — a place where children become themselves"
hero_subtitle,"Founded in 2003 by a small group of educators and parents who believed that childhood deserved better, Little Seeds has grown from a single classroom into three thriving campuses across Alameda. For over two decades we have held one belief above all else: every child carries a spark, and our job is to fan it."
hero_image,""
mission_label,"🪄 Our Mission"
mission_title,"We grow curious, confident, and kind human beings"
mission_body,"Our approach is rooted in the Reggio Emilia philosophy — a research-based framework that treats children as capable, creative learners who construct their own knowledge through exploration, relationships, and play. We don't deliver a curriculum to passive recipients; we co-create learning journeys alongside every child. Teachers observe, document, and respond to each child's emerging interests, weaving academic foundations into meaningful, joyful experiences."
mission_cta,"Read Our Philosophy →"
value_1_icon,"🌱"
value_1_title,"Child-Centered"
value_1_text,"Every decision we make starts with what is best for the child in front of us. We follow their lead, honor their pace, and celebrate their individual strengths."
value_2_icon,"🎨"
value_2_title,"Play As Learning"
value_2_text,"Play is not a break from learning — it is how young children learn best. Our classrooms are designed as invitations to explore, imagine, and discover."
value_3_icon,"🤝"
value_3_title,"Family Partnership"
value_3_text,"Families are children's first teachers. We build genuine partnerships through open communication, parent education nights, and a true open-door policy."
value_4_icon,"🌍"
value_4_title,"Inclusive Community"
value_4_text,"We celebrate every background, ability, and family structure. Our classrooms mirror the beautiful diversity of the world children will grow up to shape."
team_label,"🪄 Our Educators"
team_title,"The hearts behind Little Seeds & Peter Pan Schools"
team_1_name,"Sarah Hallford"
team_1_role_tag,"Executive Director"
team_1_role_class,"director"
team_1_cred,"M.Ed. Early Childhood Education, UC Berkeley · 20+ years in early education"
team_1_emoji,"👩‍💼"
team_2_name,"Jessica Chen"
team_2_role_tag,"Lead Teacher, Preschool"
team_2_role_class,"teacher"
team_2_cred,"B.A. Child Development, SF State · Reggio Emilia certified facilitator"
team_2_emoji,"👩‍🏫"
team_3_name,"Dr. Aisha Patel"
team_3_role_tag,"Infant & Toddler Specialist"
team_3_role_class,"specialist"
team_3_cred,"Ph.D. Developmental Psychology, Stanford · RIE-certified practitioner"
team_3_emoji,"👩‍⚕️"
team_4_name,"Tom Barnes"
team_4_role_tag,"Curriculum Director"
team_4_role_class,"director"
team_4_cred,"M.A. Arts Education, CalArts · 15 years designing play-based learning environments"
team_4_emoji,"👨‍🎨"
cta_band_title,"Come see the magic for yourself"
cta_band_subtitle,"A 30-minute tour tells you more than a thousand words. We'd love to meet you and your little one."
