key,value
page_title,"Curriculum — Little Seeds & Peter Pan Schools"
hero_label,"🪄 Play-Based Learning"
hero_title,"A curriculum built for curious little minds"
hero_subtitle,"Our approach is grounded in the Reggio Emilia philosophy — a globally recognised framework that sees children as powerful, competent learners. We don't teach at children; we learn alongside them, following their curiosity wherever it leads and building foundational skills through meaningful, joyful experiences."
curriculum_label,"🪄 What We Teach"
curriculum_title,"Eight pillars of joyful learning"
item_1_icon,"🎨"
item_1_name,"Process Art"
item_2_icon,"🔧"
item_2_name,"STEM"
item_3_icon,"📚"
item_3_name,"Language Arts"
item_4_icon,"🎵"
item_4_name,"Music & Movement"
item_5_icon,"🎭"
item_5_name,"Dramatic Play"
item_6_icon,"👐"
item_6_name,"Sensory Play"
item_7_icon,"🌿"
item_7_name,"Outdoor Learning"
item_8_icon,"❤️"
item_8_name,"Social-Emotional"
philosophy_label,"🪄 Our Philosophy"
philosophy_title,"Play is a child's first language"
philosophy_body,"Long before children can read or write, they make sense of the world through play. Block towers are engineering. Mudpies are chemistry. Pretend games are emotional rehearsal for real life. At Little Seeds & Peter Pan Schools, we take play seriously — because the research does too."
checklist_1,"Builds executive function and self-regulation"
checklist_2,"Develops language faster than direct instruction"
checklist_3,"Strengthens problem-solving and creative thinking"
checklist_4,"Fosters empathy and collaborative skills"
philosophy_image,"gallery/ppp_b49ada_09f32c6df43d4.jpg"
faq_label,"🪄 Frequently Asked Questions"
faq_title,"Questions parents ask"
faq_1_q,"What is play-based learning?"
faq_1_a,"Play-based learning is an approach where children acquire knowledge and skills through self-directed, intrinsically motivated play activities. Rather than sitting at desks and receiving direct instruction, children explore materials, ask questions, and construct understanding through hands-on experience. Teachers act as facilitators and co-investigators — observing, documenting, and gently extending learning — rather than lecturers."
faq_2_q,"How does the Reggio Emilia approach work in practice?"
faq_2_a,"Reggio Emilia originated in northern Italy after World War II and is now recognised worldwide as one of the most effective early childhood frameworks. In practice it means: classrooms are treated as a "third teacher" (after parents and educators), rich with beautiful, open-ended materials. Projects — called "provocations" — emerge from children's own questions and interests, sometimes lasting days or weeks. Learning is documented through photos, drawings, and recordings, making children's thinking visible."
faq_3_q,"Do children learn academics like letters and numbers?"
faq_3_a,"Absolutely — but the goal is deep, durable understanding rather than rote memorisation. Children encounter letters through storytelling, writing centres, and name recognition. They encounter numbers through building, cooking, sorting, and music. Because these concepts arise in meaningful contexts, children form stronger neural pathways and transfer skills more readily to new situations. Our Pre-K graduates consistently arrive at kindergarten ahead of grade-level expectations."
faq_4_q,"How do you assess children's progress?"
faq_4_a,"We use ongoing observation-based documentation rather than tests or grades. Teachers keep detailed portfolios for each child — including anecdotal notes, photos, and work samples — that are shared with families at two formal conferences per year and through our family communication app throughout the year. We assess across developmental domains: cognitive, language, social-emotional, physical, and creative arts."
faq_5_q,"What does a typical day look like?"
faq_5_a,"Days follow a predictable rhythm that gives children security while leaving space for deep exploration. A typical preschool day: 7:30 arrival and free choice centres → 9:00 morning meeting and group time → 9:30 project work and outdoor play → 11:00 story and songs → 11:30 lunch → 12:15 rest or quiet time → 2:00 afternoon snack → 2:30 outdoor exploration and free play → 4:30 small group activities → 5:30 pick-up. Schedules vary by age group."
nav_active_curriculum,"active"
