key,value
page_title,"Peter Pan Preschool — Little Seeds & Peter Pan Schools"
nav_active_home,""
nav_active_about,""
nav_active_schools,"active"
nav_active_curriculum,""
nav_active_blog,""
hero_label,"🪄 Alameda, CA"
hero_title,"Peter Pan Preschool"
hero_subtitle,"Peter Pan Preschool is a classic neighborhood preschool with a modern heart. Children ages 3–5 thrive in our structured yet playful environment, developing the confidence and skills they need to flourish in kindergarten and beyond."
hero_address,"📍 715 Haight Ave, Alameda, CA 94501"
hero_ages,"👶 Ages 3 – 5 years"
hero_hours,"🕗 Open Monday – Friday, 7:30 AM – 5:30 PM"
hero_director,"👩‍💼 Director: Contact Us"
hero_phone,"📞 (510) 865-5901"
hero_email,"sarah@peterpanschools.com"
hero_status,"✓ Enrolling Now"
hero_status_type,"open"
hero_image,"gallery/ppp_b49ada_0c339a5dc87c4.jpg"
programs_label,"🪄 Programs at This Location"
programs_title,"Programs for ages 3 – 5 years"
program_1_age,"3 – 4 years"
program_1_title,"Preschool Atelier"
program_1_text,"Creative inquiry-based learning where children explore art, science, language, and social-emotional skills through guided play and real-world projects."
program_1_tag1,"1:6 ratio"
program_1_tag2,"Half & Full day"
program_1_emoji,"🎨"
program_1_bg,"--color-bg-cream"
program_2_age,"4 – 5 years"
program_2_title,"Pre-K Lab"
program_2_text,"A structured kindergarten-readiness program that builds literacy, numeracy, and executive function while keeping the joy of early childhood front and center."
program_2_tag1,"1:8 ratio"
program_2_tag2,"Full day"
program_2_emoji,"🎒"
program_2_bg,"--color-bg-cream"
program_3_age,"3 – 5 years"
program_3_title,"Garden & Nature Program"
program_3_text,"Daily outdoor learning in our school garden. Children plant, observe, and connect with the natural world, building science curiosity and a love of nature."
program_3_tag1,"All ages"
program_3_tag2,"Daily"
program_3_emoji,"🌿"
program_3_bg,"--color-bg-cream"
program_4_age,"4 – 5 years"
program_4_title,"After-School Care"
program_4_text,"Extended care for enrolled families with guided activities, outdoor play, and a healthy afternoon snack in a calm, supportive setting."
program_4_tag1,"Flexible"
program_4_tag2,"Drop-in available"
program_4_emoji,"🌅"
program_4_bg,"--color-bg-cream"
gallery_label,"🪄 Photo Gallery"
gallery_title,"Life at Our Schools"
map_address,"715 Haight Ave, Alameda, CA 94501"
map_placeholder_text,"📍 Google Map — 715 Haight Ave, Alameda, CA 94501"
cta_band_title,"Ready to visit Peter Pan Preschool?"
cta_band_subtitle,"Tours fill up quickly — reserve your spot today and see why Alameda families love Little Seeds & Peter Pan Schools."
photo_1,"gallery/ppp_b49ada_6d3a86b8a1164.jpg"
photo_2,"gallery/ppp_b49ada_035c96a148ed4.jpg"
photo_3,"gallery/ppp_b49ada_775c894461e34.jpg"
photo_4,"gallery/ppp_b49ada_318ba5aa0e844.jpg"
photo_5,"gallery/ppp_b49ada_d03a4c6528ed4.jpg"
photo_6,"gallery/ppp_df1e3c_8b1841e1f2004.jpg"
hero_phone_raw,5108655901
